City_ID,City,Country,current Description,Max Temp,Lat,Lng,Hotel Name
0,Kavaratti,IN,broken clouds,81.27,10.5669,72.642,Green leaf
3,Saint George,US,clear sky,82.99,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Tecoanapa,MX,scattered clouds,80.04,16.5167,-98.75,Hotel Manglares
19,Dingle,PH,moderate rain,77.22,10.9995,122.6711,SEGAYA PROPERTY
27,Riyadh,SA,broken clouds,87.94,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
30,Morant Bay,JM,few clouds,82.02,17.8815,-76.4093,Whispering Bamboo Cove Resort
38,Hithadhoo,MV,broken clouds,82.0,-0.6,73.0833,Scoop Guest House
39,Hambantota,LK,few clouds,88.14,6.1241,81.1185,Bungalow 63
43,San Patricio,US,overcast clouds,85.89,28.017,-97.5169,"Motel 6 Sinton, TX"
44,Oistins,BB,scattered clouds,80.69,13.0667,-59.5333,Butterfly Beach Hotel
46,Vaini,TO,scattered clouds,75.36,-21.2,-175.2,Keleti Beach Resort
49,Butaritari,KI,few clouds,82.56,3.0707,172.7902,Isles Sunset Lodge
54,Cabo San Lucas,MX,clear sky,85.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
62,Bubaque,GW,overcast clouds,77.81,11.2833,-15.8333,"Casa Dora, Bubaque"
64,Maues,BR,overcast clouds,77.94,-3.3836,-57.7186,Hotel Miramar
66,Bardiyah,LY,clear sky,77.34,31.7561,25.0865,بورتو بردية
69,Kapaa,US,scattered clouds,79.11,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Cairns,AU,broken clouds,84.07,-16.9167,145.7667,Mantra Trilogy Cairns
88,Yugorsk,RU,few clouds,75.63,61.3133,63.3319,Arkobaleno Mini-hotel
89,Laguna,US,clear sky,77.29,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
91,Hilo,US,broken clouds,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
93,Lahaina,US,clear sky,82.4,20.8783,-156.6825,Lahaina Shores Beach Resort
99,Georgetown,MY,scattered clouds,87.89,5.4112,100.3354,Cititel Penang
104,Dumai,ID,overcast clouds,80.53,1.6833,101.45,Grand Zuri Dumai
105,Portland,US,broken clouds,79.03,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
107,Bambanglipuro,ID,overcast clouds,82.27,-7.95,110.2833,Puri Brata
108,Acapulco,MX,few clouds,80.04,16.8634,-99.8901,HS Hotsson Smart Acapulco
120,Ugoofaaru,MV,overcast clouds,81.66,5.6667,73.0,Ungoofaaru Inn
121,Faanui,PF,overcast clouds,78.35,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Cabatuan,PH,moderate rain,76.69,10.8794,122.486,MVC Transient Room
134,Zabolotovka,RU,overcast clouds,75.56,50.2737,39.3147,Culture House of Sugar
142,Atuona,PF,few clouds,75.96,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
147,Bathsheba,BB,scattered clouds,81.21,13.2167,-59.5167,Atlantis Hotel
