City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atar,20.5169,-13.0499,99.45,24,9,12.35,MR,2022-08-03 16:51:51
1,Rikitea,-23.1203,-134.9692,72.28,72,80,15.93,PF,2022-08-03 16:51:51
2,Yadrin,55.9405,46.2062,68.05,69,70,1.57,RU,2022-08-03 16:51:52
3,Castro,-24.7911,-50.0119,77.59,36,0,5.79,BR,2022-08-03 16:51:52
4,Ribeira Grande,38.5167,-28.7,79.2,89,75,10.36,PT,2022-08-03 16:51:53
5,La Palma,33.8464,-118.0467,85.1,71,75,4.61,US,2022-08-03 16:51:53
6,Upernavik,72.7868,-56.1549,45.01,77,73,2.06,GL,2022-08-03 16:51:54
7,Saint George,37.1041,-113.5841,91.63,39,0,4.61,US,2022-08-03 16:51:54
8,Albany,42.6001,-73.9662,85.68,51,2,1.01,US,2022-08-03 16:51:39
9,Ushuaia,-54.8,-68.3,40.62,87,75,2.3,AR,2022-08-03 16:51:55
10,Murgud,16.4,74.2,73.85,95,100,3.56,IN,2022-08-03 16:51:55
11,Busselton,-33.65,115.3333,53.69,76,87,17.6,AU,2022-08-03 16:50:03
12,Clyde River,70.4692,-68.5914,37.63,100,100,8.05,CA,2022-08-03 16:51:56
13,Dikson,73.5069,80.5464,42.01,100,100,7.34,RU,2022-08-03 16:51:57
14,Victoria,22.2855,114.1577,84.38,83,95,3.0,HK,2022-08-03 16:49:30
15,Praia,14.9215,-23.5087,84.74,65,40,13.8,CV,2022-08-03 16:51:57
16,Bluff,-46.6,168.3333,44.8,73,100,14.99,NZ,2022-08-03 16:51:58
17,Danville,36.586,-79.395,91.87,48,0,3.44,US,2022-08-03 16:49:36
18,Tambovka,50.0969,128.0489,68.72,74,87,3.18,RU,2022-08-03 16:51:58
19,Longyearbyen,78.2186,15.6401,53.44,66,75,10.36,SJ,2022-08-03 16:51:59
20,Cavalcante,-13.7975,-47.4583,86.79,22,27,8.32,BR,2022-08-03 16:51:59
21,Gat,31.61,34.7642,85.41,100,5,8.77,IL,2022-08-03 16:52:00
22,Qaanaaq,77.484,-69.3632,44.73,63,29,1.48,GL,2022-08-03 16:52:00
23,Barrow,71.2906,-156.7887,48.56,64,100,15.08,US,2022-08-03 16:52:00
24,Bambous Virieux,-20.3428,57.7575,68.25,77,40,5.75,MU,2022-08-03 16:52:01
25,Point Pedro,9.8167,80.2333,80.46,83,100,20.09,LK,2022-08-03 16:52:01
26,Vaini,-21.2,-175.2,75.36,94,40,9.22,TO,2022-08-03 16:52:02
27,Punta Arenas,-53.15,-70.9167,39.31,87,75,9.22,CL,2022-08-03 16:50:14
28,Hasaki,35.7333,140.8333,77.4,94,95,12.97,JP,2022-08-03 16:51:49
29,San Cristobal,7.7669,-72.225,71.78,91,100,5.12,VE,2022-08-03 16:52:03
30,Vestmannaeyjar,63.4427,-20.2734,54.59,62,20,23.02,IS,2022-08-03 16:52:03
31,Tchibanga,-2.85,11.0333,74.91,68,24,8.5,GA,2022-08-03 16:52:03
32,Gazli,40.1333,63.45,87.82,19,1,9.71,UZ,2022-08-03 16:52:04
33,Nikolskoye,59.7035,30.7861,73.29,70,60,2.46,RU,2022-08-03 16:52:04
34,Lebu,-37.6167,-73.65,51.28,73,7,3.78,CL,2022-08-03 16:49:09
35,Kavieng,-2.5744,150.7967,81.1,80,97,15.73,PG,2022-08-03 16:52:05
36,Omsukchan,62.5333,155.8,50.52,97,98,6.46,RU,2022-08-03 16:52:05
37,Saskylakh,71.9167,114.0833,44.02,69,100,8.77,RU,2022-08-03 16:52:06
38,Hirara,24.8,125.2833,85.03,75,51,17.09,JP,2022-08-03 16:52:07
39,Pisco,-13.7,-76.2167,66.02,68,0,6.91,PE,2022-08-03 16:52:07
40,Bairiki,1.3292,172.9752,80.6,78,40,11.5,KI,2022-08-03 16:52:07
41,Pevek,69.7008,170.3133,34.99,99,100,10.51,RU,2022-08-03 16:52:08
42,Paamiut,61.994,-49.6678,52.56,74,100,27.2,GL,2022-08-03 16:52:08
43,Mar Del Plata,-38.0023,-57.5575,52.09,99,100,8.99,AR,2022-08-03 16:47:33
44,Kapaa,22.0752,-159.319,75.52,92,75,16.11,US,2022-08-03 16:50:50
45,Asfi,32.2994,-9.2372,76.48,67,0,20.49,MA,2022-08-03 16:52:10
46,Tefe,-3.3542,-64.7114,89.71,66,40,4.16,BR,2022-08-03 16:53:11
47,Terrace,54.5163,-128.6035,57.11,88,100,5.75,CA,2022-08-03 16:53:11
48,La Ronge,55.1001,-105.2842,62.85,55,40,5.75,CA,2022-08-03 16:53:11
49,Khabary,53.6259,79.5345,59.7,60,32,9.6,RU,2022-08-03 16:53:12
50,Huangmei,30.1924,116.025,83.07,76,1,2.35,CN,2022-08-03 16:53:12
51,Kaitangata,-46.2817,169.8464,43.32,86,100,3.98,NZ,2022-08-03 16:53:13
52,Hobart,-42.8794,147.3294,49.26,85,34,6.91,AU,2022-08-03 16:52:14
53,Berlevag,70.8578,29.0864,55.4,93,100,13.8,NO,2022-08-03 16:53:13
54,Mount Gambier,-37.8333,140.7667,50.13,87,52,10.94,AU,2022-08-03 16:53:14
55,Bitung,1.4451,125.1824,77.85,85,94,11.18,ID,2022-08-03 16:53:14
56,Norden,53.6,7.2,83.95,81,69,8.16,DE,2022-08-03 16:53:15
57,Yellowknife,62.456,-114.3525,61.32,63,20,8.99,CA,2022-08-03 16:52:42
58,Bethel,41.3712,-73.414,87.15,56,0,1.01,US,2022-08-03 16:53:15
59,Chuy,-33.6971,-53.4616,57.4,98,100,2.35,UY,2022-08-03 16:53:16
60,Santarem,-2.4431,-54.7083,86.13,74,40,16.11,BR,2022-08-03 16:53:16
61,Adra,36.7496,-3.0206,99.37,51,0,9.24,ES,2022-08-03 16:49:43
62,Mataura,-46.1927,168.8643,44.47,89,100,3.11,NZ,2022-08-03 16:53:17
