City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,42.26,65,38,5.97,GL,2022-08-02 05:01:06
1,Hong Gai,20.956,107.0946,89.51,60,69,7.7,VN,2022-08-02 05:01:07
2,Denpasar,-8.65,115.2167,83.86,83,40,12.66,ID,2022-08-02 05:00:15
3,Ribeira Grande,38.5167,-28.7,73.96,74,3,11.65,PT,2022-08-02 05:01:08
4,Umm Kaddadah,13.6017,26.6876,74.98,70,28,12.66,SD,2022-08-02 05:01:09
5,Carmona,14.3,121.0167,86.67,75,100,1.92,PH,2022-08-02 05:01:10
6,Waitati,-45.75,170.5667,53.11,55,62,6.8,NZ,2022-08-02 05:01:10
7,Punta Arenas,-53.15,-70.9167,46.11,61,100,15.21,CL,2022-08-02 05:00:58
8,Birzai,56.2,24.75,57.88,92,4,5.28,LT,2022-08-02 05:01:11
9,Avarua,-21.2078,-159.775,75.25,60,100,6.91,CK,2022-08-02 05:01:12
10,Fivizzano,44.2383,10.126,74.19,45,100,5.3,IT,2022-08-02 05:01:12
11,Hofn,64.2539,-15.2082,47.48,78,91,10.29,IS,2022-08-02 05:01:12
12,Saskylakh,71.9167,114.0833,46.11,61,100,11.45,RU,2022-08-02 05:01:13
13,Rio Grande,-32.035,-52.0986,45.95,93,65,1.03,BR,2022-08-02 05:01:14
14,Dikson,73.5069,80.5464,41.59,87,100,5.44,RU,2022-08-02 05:01:14
15,Chuy,-33.6971,-53.4616,51.71,94,46,2.89,UY,2022-08-02 05:01:14
16,Rikitea,-23.1203,-134.9692,73.27,74,24,24.7,PF,2022-08-02 05:01:15
17,Coquimbo,-29.9533,-71.3436,53.69,88,64,1.72,CL,2022-08-02 05:01:16
18,Arlit,18.7369,7.3853,84.4,47,99,12.06,NE,2022-08-02 05:01:16
19,Hobart,-42.8794,147.3294,57.06,56,75,11.5,AU,2022-08-02 05:00:08
20,Ortigueira,-24.2083,-50.9494,58.82,74,69,2.64,BR,2022-08-02 05:01:17
21,Severo-Kurilsk,50.6789,156.125,56.23,80,24,5.3,RU,2022-08-02 05:01:17
22,Saint-Augustin,51.226,-58.6502,61.29,98,38,6.35,CA,2022-08-02 05:01:18
23,Shambu,9.5667,37.1,50.49,95,98,1.25,ET,2022-08-02 05:01:18
24,Laguna,38.421,-121.4238,78.04,67,0,3.44,US,2022-08-02 04:58:38
25,Monrovia,6.3005,-10.7969,75.6,80,100,12.8,LR,2022-08-02 05:01:19
26,Beringovskiy,63.05,179.3167,54.21,72,12,7.45,RU,2022-08-02 05:01:19
27,Barrow,71.2906,-156.7887,40.78,66,25,15.73,US,2022-08-02 04:59:01
28,Albany,42.6001,-73.9662,72.03,81,37,3.98,US,2022-08-02 04:57:41
29,Linqiong,30.4159,103.4609,77.05,84,100,1.7,CN,2022-08-02 05:01:20
30,Bredasdorp,-34.5322,20.0403,43.88,85,0,2.95,ZA,2022-08-02 05:01:21
31,Eustis,28.8528,-81.6853,81.01,79,61,1.99,US,2022-08-02 04:58:55
32,Ushuaia,-54.8,-68.3,40.1,95,95,6.69,AR,2022-08-02 05:01:22
33,Bathsheba,13.2167,-59.5167,81.05,90,100,15.9,BB,2022-08-02 05:01:22
34,Busselton,-33.65,115.3333,54.46,73,96,24.99,AU,2022-08-02 05:01:22
35,New Norfolk,-42.7826,147.0587,56.7,67,55,3.0,AU,2022-08-02 05:01:23
36,Almaznyy,48.0448,40.045,79.65,41,65,8.93,RU,2022-08-02 05:01:23
37,Hithadhoo,-0.6,73.0833,80.89,72,65,13.49,MV,2022-08-02 05:01:24
38,Luderitz,-26.6481,15.1594,51.48,83,13,1.68,NA,2022-08-02 05:01:24
39,Thompson,55.7435,-97.8558,51.96,82,40,2.3,CA,2022-08-02 04:56:56
40,Port Hawkesbury,45.6169,-61.3485,66.18,93,75,6.91,CA,2022-08-02 05:01:25
41,Puerto Ayora,-0.7393,-90.3518,69.55,95,72,8.01,EC,2022-08-02 05:01:25
42,Papar,5.7333,115.9333,89.6,61,92,4.23,MY,2022-08-02 05:01:26
43,Tocache,-8.1842,-76.5125,70.56,95,92,1.07,PE,2022-08-02 05:01:26
44,Bethel,41.3712,-73.414,70.11,96,18,3.31,US,2022-08-02 05:01:26
45,Kruisfontein,-34.0033,24.7314,50.0,46,88,5.91,ZA,2022-08-02 05:01:27
46,Mataura,-46.1927,168.8643,44.47,75,10,11.43,NZ,2022-08-02 05:01:27
47,Waitara,-38.925,174.25,57.49,75,100,17.05,NZ,2022-08-02 05:01:28
48,Kapaa,22.0752,-159.319,77.11,78,3,5.99,US,2022-08-02 05:01:28
49,Bluff,-46.6,168.3333,44.8,79,41,22.35,NZ,2022-08-02 05:01:29
50,Hermanus,-34.4187,19.2345,42.8,64,0,7.65,ZA,2022-08-02 05:02:29
51,Cayenne,4.9333,-52.3333,79.09,1,20,0.0,GF,2022-08-02 05:00:08
52,Mananjary,-21.2167,48.3333,66.78,89,25,8.59,MG,2022-08-02 05:02:30
53,Faya,18.3851,42.4509,61.11,69,100,5.44,SA,2022-08-02 05:02:31
54,Nanortalik,60.1432,-45.2371,45.32,76,100,10.74,GL,2022-08-02 05:02:31
55,Salaga,8.5508,-0.5188,70.36,96,100,4.41,GH,2022-08-02 05:02:31
56,Lupsanu,44.3833,26.9,71.67,64,1,4.05,RO,2022-08-02 05:02:32
57,Kaitangata,-46.2817,169.8464,53.73,59,13,11.34,NZ,2022-08-02 05:02:32
58,Castro,-24.7911,-50.0119,55.9,78,57,1.5,BR,2022-08-02 05:02:33
59,Sitka,57.0531,-135.33,57.38,96,100,4.0,US,2022-08-02 05:02:33
60,Lompoc,34.6391,-120.4579,73.54,91,40,1.99,US,2022-08-02 05:00:08
61,Vaini,-21.2,-175.2,76.03,84,100,12.33,TO,2022-08-02 05:01:38
